post_timing, neighborhood, post title, number bedrooms, sqft, URL, price
2019-04-25 18:11, (san jose south),Microphone Stand - base only,nan,nan,https://sfbay.craigslist.org/sby/msg/d/san-jose-microphone-stand-base-only/6874930728.html,
2019-04-25 18:11, (Pier 39),5 tickets Feed the Sharks Tour & Admission Aquarium of the Bay,nan,nan,https://sfbay.craigslist.org/sfc/tix/d/san-francisco-5-tickets-feed-the-sharks/6865395055.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Lululemon APL Black Shoes,nan,nan,https://sfbay.craigslist.org/eby/clo/d/concord-lululemon-apl-black-shoes/6874930710.html,
2019-04-25 18:11, (Mountain View),Apple MacBook Pro (Retina  13"  Early 2015) Intel i5 / 8GB / 128GB SSD,nan,nan,https://sfbay.craigslist.org/pen/sys/d/mountain-view-apple-macbook-pro-retina/6874930695.html,
2019-04-25 18:11, (daly city),2012 54cm Fuji supreme 2.0 carbon 2x11speed road bike,nan,nan,https://sfbay.craigslist.org/pen/bik/d/daly-city-cm-fuji-supreme-20-carbon/6860551846.html,
2019-04-25 18:11, (lake county),Colorado-Canyon back window oem,nan,nan,https://sfbay.craigslist.org/nby/pts/d/clearlake-park-colorado-canyon-back/6874930667.html,
2019-04-25 18:11, (san jose south),ROHO Mosaic Cushion for Wheelchair or Seat,nan,nan,https://sfbay.craigslist.org/sby/hab/d/san-jose-roho-mosaic-cushion-for/6874930661.html,
2019-04-25 18:11, (san jose south),IKEA floor lamp,nan,nan,https://sfbay.craigslist.org/sby/fuo/d/san-jose-ikea-floor-lamp/6874930648.html,
2019-04-25 18:11, (downtown / civic / van ness),IKEA Coffee Table & End Table,nan,nan,https://sfbay.craigslist.org/sfc/fuo/d/san-leandro-ikea-coffee-table-end-table/6867927285.html,
2019-04-25 18:11, (san jose north),NEW - nylon Leatherman Sheath (for Rebar/others) [#15],nan,nan,https://sfbay.craigslist.org/sby/tls/d/san-jose-new-nylon-leatherman-sheath/6874930610.html,
2019-04-25 18:11, (alameda),2008 33ft Fully Self Contained Travel Trailer with Slideout.,nan,nan,https://sfbay.craigslist.org/eby/rvs/d/alameda-ft-fully-self-contained-travel/6874889625.html,
2019-04-25 18:11, (larkspur),4 wheel drive Toyota,nan,nan,https://sfbay.craigslist.org/nby/cto/d/larkspur-4-wheel-drive-toyota/6874932665.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Calvin Klein Red Dress,nan,nan,https://sfbay.craigslist.org/eby/clo/d/concord-calvin-klein-red-dress/6874930585.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Calvin Klein Red Dress,nan,nan,https://sfbay.craigslist.org/eby/clo/d/concord-calvin-klein-red-dress/6874930585.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Calvin Klein Red Dress,nan,nan,https://sfbay.craigslist.org/eby/clo/d/concord-calvin-klein-red-dress/6874930585.html,
2019-04-25 18:11, (richmond / point / annex),Brooks Flyer laced aged Toolskit,nan,nan,https://sfbay.craigslist.org/eby/bop/d/richmond-brooks-flyer-laced-aged/6874930581.html,
2019-04-25 18:11, (scotts valley),Beautiful High Quality Lamp Shade Ivory,nan,nan,https://sfbay.craigslist.org/scz/hsh/d/scotts-valley-beautiful-high-quality/6869806923.html,
2019-04-25 18:11, (santa clara),BAY AREA'S LARGEST BUYER BASEBALL CARDS UNOPENED BOXES -CashForCardz,nan,nan,https://sfbay.craigslist.org/sby/wan/d/santa-clara-bay-areas-largest-buyer/6874905148.html,
2019-04-25 18:11, (santa clara),BAY AREA'S LARGEST BUYER BASEBALL CARDS UNOPENED BOXES -CashForCardz,nan,nan,https://sfbay.craigslist.org/sby/wan/d/santa-clara-bay-areas-largest-buyer/6874905148.html,
2019-04-25 18:11, (lower haight),Round Dining Table + 4 chairs,nan,nan,https://sfbay.craigslist.org/sfc/fuo/d/san-francisco-round-dining-table-4/6874930461.html,
2019-04-25 18:11, (oakland downtown),Oakland Zoo Family Pass with FREE PARKING,nan,nan,https://sfbay.craigslist.org/eby/tix/d/oakland-oakland-zoo-family-pass-with/6865528654.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Ray Ban Brown Glasses,nan,nan,https://sfbay.craigslist.org/eby/for/d/concord-ray-ban-brown-glasses/6874930453.html,
2019-04-25 18:11, (concord / pleasant hill / martinez),Ray Ban Brown Glasses,nan,nan,https://sfbay.craigslist.org/eby/for/d/concord-ray-ban-brown-glasses/6874930453.html,
2019-04-25 18:11, (MORGAN HILL),OVEN ROTISSERIE,nan,nan,https://sfbay.craigslist.org/sby/bfs/d/morgan-hill-oven-rotisserie/6874930365.html,
2019-04-25 18:11, (saratoga),FENDI REPLICA BAG,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/fendi-replica-bag/6866578443.html,
2019-04-25 18:11, (Saratoga),DOZEN BELLEEK 2ND BLACK MARK DEMITASSE SET (12),nan,nan,https://sfbay.craigslist.org/sby/atq/d/dozen-belleek-2nd-black-mark-demitasse/6866551530.html,
2019-04-25 18:11, (san jose west),Art Deco Lady Bookends Nouveau Flapper Statue,nan,nan,https://sfbay.craigslist.org/sby/art/d/art-deco-lady-bookends-nouveau-flapper/6866578586.html,
