,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2019-04-26 14:42, (mission district),Mission Dolores Park Views/240 Cumberland/W/D in unit/Private Deck!!,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mission-dolores-park/6875587557.html,4195
1,2019-04-26 14:41, (marina / cow hollow),"OPEN SUN 2:30PM-3:15PM  3BR/2BA Quiet House w/ Deck, Shared Laundry",3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-sun-230pm-315pm-3br/6873917937.html,5795
2,2019-04-26 14:41, (laurel hts / presidio),2 bedroom beach apartment overlooking Baker Beach,2br,1200ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-beach-apartment/6875586844.html,3790
3,2019-04-26 14:40, (inner sunset / UCSF),Inner sunset/1290 20thAve.&Irving/Available Now!!,1br,547ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-inner-sunset-thaveirving/6875586548.html,3095
4,2019-04-26 14:40, (russian hill),Russian Hill | 2129 Hyde Street | Furnished 2BR/1BA Apartment,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-hyde-street/6875586039.html,6500
5,2019-04-26 14:39, (SOMA / south beach),"3 Month Furnished 1BR, 2BA SOMA LOFT Available May 1",1br,906ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3-month-furnished-1br-2ba/6875565083.html,3900
6,2019-04-26 14:38, (mission district),Mission Dolores Park/3875 18th&Sanchez/Muni/Available Now!!,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mission-dolores-park/6875584818.html,3895
7,2019-04-26 14:37, (downtown / civic / van ness),Downtown/1050 Post&Polk/Remodeled/Available Now!!,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-downtown-1050-postpolk/6875583601.html,2795
8,2019-04-26 14:35, (russian hill),Russian Hill | 2123 Hyde Street | Furnished 3BR/3BA Apartment,3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-hyde-street/6875582435.html,9500
9,2019-04-26 14:35, (SOMA / south beach),"Electric Car Charging Stations, Washer and dryer, Pets welcome",1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-electric-car-charging/6875581763.html,3685
10,2019-04-26 14:35, (SOMA / south beach),"Beautiful Two Bedroom, Facing Inner Courtyard, Private Balcony",2br,1025ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-two-bedroom/6875581784.html,5583
11,2019-04-26 14:34, (bayview),Now Leasing Luxury Jr. 1x1!  Washer/Dryer Included!,1br,572ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-leasing-luxury-jr-1x1/6875581407.html,2685
12,2019-04-26 14:32, (lower pac hts),Beautiful Apartment-Lower Pac Heights,4br,,https://sfbay.craigslist.org/sfc/apa/d/beautiful-apartment-lower-pac-heights/6875579088.html,6100
13,2019-04-26 14:31, (lower nob hill),OPEN HOUSE SAT. GREAT LOCATION. CLEAN & COZY 1 BDROM HRWD,1br,750ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-sat-great/6875578305.html,2600
14,2019-04-26 14:31, (lower pac hts),Beautiful Apartment-Lower Pac Heights,4br,,https://sfbay.craigslist.org/sfc/apa/d/beautiful-apartment-lower-pac-heights/6875578776.html,6100
15,2019-04-26 14:31, (castro / upper market),2097 Market St. | Castro | Furnished 2BR/2.5BA Apartment,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2097-market-st-castro/6875578732.html,6400
